column_name,file(s),category,description,source
col_rush_yds,college,college_rushing,College career rushing yards (last 2 seasons),College Football Data API
col_rush_td,college,college_rushing,College career rushing touchdowns (last 2 seasons),College Football Data API
col_ppa_plays,college,college_advanced,Number of plays used to calculate PPA metrics,College Football Data API
col_cmp_pct,"model, college",college_rate,College completion percentage,Derived
col_yds_per_att,"model, college",college_rate,College passing yards per attempt,Derived
col_td_int_ratio,"model, college",college_rate,College touchdown-to-interception ratio,Derived
col_int_rate,"model, college",college_rate,College interception rate — INTs / pass attempts × 100,Derived
col_rush_yds_per_att,"model, college",college_rate,College rushing yards per carry,Derived
col_ppa_overall,"model, college",college_advanced,"Predicted Points Added (PPA) overall — average points added per play, all play types",College Football Data API
col_ppa_pass,"model, college",college_advanced,PPA on passing plays — average points added per pass play,College Football Data API
col_ppa_rush,"model, college",college_advanced,PPA on rushing plays — average points added per rush play,College Football Data API
col_usage_overall,"model, college",college_advanced,"Overall usage rate — share of team plays involving this player (0-1 scale, higher = more involved)",College Football Data API
col_usage_pass,"model, college",college_advanced,Pass usage rate — share of team pass plays involving this player,College Football Data API
col_usage_rush,"model, college",college_advanced,Rush usage rate — share of team rush plays involving this player,College Football Data API
col_usage_first_down,"model, college",college_advanced,Usage rate on first down plays,College Football Data API
col_usage_second_down,"model, college",college_advanced,Usage rate on second down plays,College Football Data API
col_usage_third_down,"model, college",college_advanced,Usage rate on third down plays,College Football Data API
col_conference,college,college_meta,"Conference the player's college team belonged to (e.g. SEC, B1G, ACC)",College Football Data API
col_team,college,college_meta,College team name,College Football Data API
col_seasons_found,college,college_meta,Number of college seasons with data found,Data collection
col_sacks,college,college_passing,Total sacks taken in college,College Football Data API
col_sack_yds,college,college_passing,Total yardage lost on sacks in college,College Football Data API
col_sack_rate,"model, college",college_rate,College sack rate — sacks / (pass attempts + sacks),College Football Data API / Derived
recruit_rating,"model, college",recruiting,247Sports composite recruit rating (0-1 scale),247Sports
recruit_stars,"model, college",recruiting,247Sports composite star rating (2-5),247Sports
recruit_ranking,college,recruiting,247Sports composite national ranking,247Sports
recruit_position,college,recruiting,"Recruit position designation (PRO = pro-style, DUAL = dual-threat)",247Sports
recruit_city,college,recruiting,Recruit hometown city,247Sports
recruit_state_prov,college,recruiting,Recruit hometown state/province,247Sports
